"group_id,""arm"",""visitor_id"",""arrival_time"",""exit_time"",""time_on_page_sec"",""exit_rate"",""ctr_opportunities"",""ctr_newsletter"",""ctr_donation"",""ctr_events"",""kpi_x"",""kpi_y"",""scroll_depth_pct"",""ctr_partner_banner"",""page_load_time_ms"""
"TXB_50,""pre"",1,2026-02-22 23:56:19.912141,2026-02-23 00:10:37.358044,857.4,0,0,0,0,0,20.99,0,15.8,0,1124.6"
"TXB_50,""pre"",2,2026-02-23 00:04:21.780854,2026-02-23 00:07:08.45178,166.7,0,0,0,0,0,60.47,0,21.1,0,1081.1"
"TXB_50,""pre"",3,2026-02-23 00:19:06.142652,2026-02-23 00:19:36.641006,30.5,0,0,0,0,0,17.21,1,34.5,0,1068.1"
"TXB_50,""pre"",4,2026-02-23 00:50:03.467378,2026-02-23 00:50:12.139395,8.7,1,0,0,0,0,0.95,0,7.3,0,2424.9"
"TXB_50,""pre"",5,2026-02-23 01:08:11.793118,2026-02-23 01:15:44.427531,452.6,0,0,0,0,0,46.47,0,35.2,0,1445.2"
"TXB_50,""pre"",6,2026-02-23 01:11:23.473092,2026-02-23 01:16:57.854844,334.4,0,0,0,0,0,26.3,0,94.1,0,1932.6"
"TXB_50,""pre"",7,2026-02-23 01:13:06.505152,2026-02-23 01:14:04.80174,58.3,0,0,0,0,0,70.94,0,50.3,0,2369.8"
"TXB_50,""pre"",8,2026-02-23 02:19:52.43052,2026-02-23 02:19:54.21377,1.8,1,0,0,0,0,1.68,0,2.1,0,1736.4"
"TXB_50,""pre"",9,2026-02-23 02:21:13.774701,2026-02-23 04:09:27.196339,6493.4,0,0,0,0,0,80.13,0,37.4,0,1236.2"
"TXB_50,""pre"",10,2026-02-23 02:26:00.013578,2026-02-23 02:28:33.676331,153.7,0,0,0,0,0,27.43,0,17.6,0,1208.6"
"TXB_50,""pre"",11,2026-02-23 02:26:53.52202,2026-02-23 02:26:56.68133,3.2,1,0,0,0,0,2.93,0,4,0,1601.7"
"TXB_50,""pre"",12,2026-02-23 02:38:27.158674,2026-02-23 02:39:31.555495,64.4,0,0,0,0,0,28.84,0,84.1,0,1225.4"
"TXB_50,""pre"",13,2026-02-23 02:55:18.756804,2026-02-23 02:55:38.697746,19.9,0,0,0,0,0,37.24,0,71,0,1308.2"
"TXB_50,""pre"",14,2026-02-23 03:28:57.354444,2026-02-23 03:29:54.509291,57.2,0,0,0,0,0,20.63,0,84.8,0,1673.8"
"TXB_50,""pre"",15,2026-02-23 03:36:15.834423,2026-02-23 03:38:12.207903,116.4,0,0,0,0,0,0,0,85.8,0,1695.3"
"TXB_50,""pre"",16,2026-02-23 04:00:54.450085,2026-02-23 04:00:55.190541,0.7,1,0,0,0,0,0.92,0,9.1,0,1369.5"
"TXB_50,""pre"",17,2026-02-23 04:14:31.118535,2026-02-23 04:14:42.481254,11.4,0,0,0,0,0,4.66,0,31.5,0,1290"
"TXB_50,""pre"",18,2026-02-23 04:16:20.634656,2026-02-23 04:16:26.987483,6.4,0,0,0,0,0,49.45,1,13.3,0,1547.8"
"TXB_50,""pre"",19,2026-02-23 04:23:25.704997,2026-02-23 04:23:50.412542,24.7,0,0,0,0,0,68.93,0,70.2,1,1547.7"
"TXB_50,""pre"",20,2026-02-23 04:24:23.978144,2026-02-23 04:24:34.713579,10.7,0,0,1,0,0,48.15,0,7.1,0,960.5"
"TXB_50,""pre"",21,2026-02-23 04:34:38.06667,2026-02-23 04:38:56.932049,258.9,0,0,0,0,0,17.32,0,96.9,0,2015.9"
"TXB_50,""pre"",22,2026-02-23 04:38:46.961376,2026-02-23 04:39:24.822684,37.9,0,0,0,0,0,71.89,0,13.6,0,8863.8"
"TXB_50,""pre"",23,2026-02-23 04:45:37.293635,2026-02-23 04:52:45.735404,428.4,0,0,0,0,0,32.11,0,82.3,0,1954.7"
"TXB_50,""pre"",24,2026-02-23 04:47:55.668661,2026-02-23 04:50:08.38489,132.7,0,0,0,0,0,13.21,0,91,0,1352.9"
"TXB_50,""pre"",25,2026-02-23 05:02:01.243519,2026-02-23 05:03:15.794833,74.6,0,0,0,0,0,23.09,0,85.8,0,1292.7"
"TXB_50,""pre"",26,2026-02-23 05:12:46.724355,2026-02-23 05:12:50.180533,3.5,1,0,0,0,0,2.1,0,3.5,0,3213.2"
"TXB_50,""pre"",27,2026-02-23 05:14:03.669948,2026-02-23 05:14:11.806205,8.1,1,0,0,0,0,3.99,0,2.1,0,1877.8"
"TXB_50,""pre"",28,2026-02-23 05:34:39.642421,2026-02-23 05:34:42.105839,2.5,1,0,0,0,0,0.06,0,4.2,0,972.5"
"TXB_50,""pre"",29,2026-02-23 05:35:19.595326,2026-02-23 05:37:50.35323,150.8,0,0,0,0,0,24.01,0,93.6,0,1238.9"
"TXB_50,""pre"",30,2026-02-23 05:37:10.254201,2026-02-23 05:37:25.514375,15.3,0,0,1,0,0,15.48,1,12.6,0,1515.5"
"TXB_50,""pre"",31,2026-02-23 05:42:02.002846,2026-02-23 05:43:38.142221,96.1,0,0,0,0,0,58.84,1,15.4,0,1096.1"
"TXB_50,""pre"",32,2026-02-23 05:48:31.555634,2026-02-23 05:48:39.5264,8,0,0,0,0,0,81.18,0,19.3,0,1919.9"
"TXB_50,""pre"",33,2026-02-23 05:52:59.306817,2026-02-23 05:53:40.102653,40.8,0,0,0,0,0,73.94,0,62.9,0,1357.2"
"TXB_50,""pre"",34,2026-02-23 05:53:17.613939,2026-02-23 05:53:19.39975,1.8,1,0,0,0,0,1.94,0,3.6,0,1556.6"
